ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
KIC10000108,1.733308517,0.765528221,3.700790221,1.245281219,1.087070873,-0.094079743,-1.833790986,1.158123793,0.837357451,-1.005032315,1.750420702,4.640887321,5.019382709,1.201255986,4.291938843,,,,,,,,
KIC10000151,2.398048118,1.263640399,3.703635238,1.211298943,1.40976309,0.358209298,-2.751491625,0.835939637,1.352871889,-0.819795661,2.364219183,3.168439128,4.287677287,1.809619076,2.883668071,,,,,,,,
KIC10000162,2.142313995,1.070381767,3.691169934,1.29040432,1.279102224,0.177750962,-2.112426954,0.914818084,1.129037457,-0.9293976,2.116342912,2.81513404,4.527110592,1.548381529,3.555231408,,,,,,,,
KIC10000198,2.096495289,1.038155348,3.705093611,1.220200539,1.22709978,0.167187352,-2.042296362,1.184559601,1.129466801,-0.818953952,2.113479423,4.590477754,4.584431721,1.549106517,4.357339482,,,,,,,,
KIC10000207,1.977421831,0.946299146,3.673941999,1.249535561,1.195083968,0.068175787,-1.957095689,1.230764712,1.076917905,-0.869511394,1.987523324,4.931669896,4.770950042,1.385659477,3.720302956,,,,,,,,
KIC10000228,2.211161986,1.139041297,3.703978825,1.200628281,1.296325354,0.259981378,-2.201703605,0.924259347,1.190002954,-0.873746541,2.191320454,3.159423809,4.457429778,1.630089485,3.456612063,,,,,,,,
KIC10000279,2.232169862,1.145445226,3.701740632,1.260666847,1.322634404,0.260642747,-2.555492644,0.611768126,1.134178426,-0.902038927,2.230413016,3.325287647,4.402371184,1.615520915,4.246231249,,,,,,,,
KIC10000547,2.205317084,1.122993754,3.716837723,1.139611244,1.266933673,0.247567583,-2.050085299,1.357384172,1.270014762,-0.797388814,2.228857177,3.07112012,4.358742054,1.629778291,4.684501761,,,,,,,,82.6
KIC10000981,1.820481953,0.836552212,3.704407927,1.207056999,1.129088313,-0.017173792,-1.87405873,1.249899779,0.930262798,-0.96762536,1.802481913,4.250163426,4.916044826,1.239857507,4.156601755,,,,,,,,
KIC10001167,1.314381287,0.439810254,3.656864492,1.260073662,0.863308776,-0.385656245,-1.586339707,0.676242355,0.580295187,-1.183714451,1.239731862,2.877037142,5.395494226,0.76369402,2.994388055,,,,,,,,
KIC10001326,1.680457003,0.704448103,3.669130847,1.300679207,1.043204084,-0.147358142,-2.058091628,1.138176356,0.766758297,-1.033956337,1.675758027,4.287760047,5.118708027,1.117440523,3.836282827,,,,,,,,
KIC10001440,1.648600909,0.700680044,3.66996737,1.219306946,0.747427864,-0.31116823,-1.791229031,1.051407417,0.764614602,-0.948079575,1.66860791,4.286780383,5.133793511,1.07715673,3.227335183,,,,,,,,
KIC10001728,2.137901086,1.092529617,3.730862992,1.077353477,1.235136711,0.232156544,-2.181331917,0.823246525,1.134210925,-0.845374852,2.126467927,2.780010804,4.325649445,1.553432023,3.792980898,,,,,,,,
KIC10001796,1.521517699,0.611829402,3.688152756,1.19726944,0.890552825,-0.174574055,-1.753032506,0.493331748,0.757152097,-0.948958448,1.528696094,3.996128672,5.217489713,1.005195359,4.281210479,,,,,,,,336.6
KIC10001935,1.512682996,0.611020473,3.690284703,1.21754837,0.870957848,-0.197495731,-1.781217817,0.454215489,0.743545446,-0.994909025,1.512128329,3.827954427,5.304790089,1.052052096,4.617679473,,,,,,,,280.9
KIC10001994,2.277395404,1.152020136,3.728110184,1.148457527,1.318956153,0.244333617,-2.443000776,0.999074025,1.289862506,-0.681005762,2.276176883,4.066817398,4.260280499,1.691942085,3.653324455,,,,,,,,
